ORIGINAL	0.871	5.136253686779637	12.648	38.094	
on	0.868	5.049821575415336	11.898	36.758	
should	0.868	5.078566771644657	13.338	38.534	
don	0.870	5.009985315597664	13.726	43.775	
more	0.869	5.070988764803288	11.523	34.377	
your	0.869	5.041454369031777	13.831	41.172	
percent	0.870	4.86777143508701	12.672	38.089	
go	0.869	5.036556704064547	12.762	40.498	
think	0.868	4.9794640508748715	12.554	37.166	
right	0.868	4.954855993440596	12.964	41.309	
say	0.867	5.073682092812102	12.793	40.697	
A	0.870	5.007116309667038	11.540	35.227	
some	0.868	5.01349184553502	12.823	41.579	
had	0.869	5.110151032371036	12.320	36.865	
want	0.870	5.122844979520571	13.738	41.792	
into	0.869	5.08880485225532	12.791	37.232	
what	0.866	4.979396595591206	12.251	35.923	
It	0.868	5.031535473617457	12.612	38.597	
well	0.869	5.071334165233677	13.708	44.470	
under	0.870	4.965308429730141	13.114	41.261	
The	0.869	5.099690248198429	11.815	37.095	
even	0.869	5.0365064300723	13.468	42.028	
need	0.869	5.109221317606457	13.528	41.964	
says	0.867	5.065076371572785	12.933	42.905	
see	0.867	5.069685999922833	12.267	38.753	
know	0.867	5.079828256772736	13.154	41.878	
I	0.869	4.946947344480935	13.069	43.282	
said	0.865	5.062986303285017	11.412	34.161	
would	0.870	5.0887653252836005	12.954	41.625	
about	0.868	4.965663083731118	11.615	32.213	
We	0.868	5.068340146541596	11.655	34.746	
get	0.868	5.106206081984407	12.085	35.752	
now	0.866	4.985263776981224	11.203	36.833	
did	0.867	5.064424762988494	12.638	36.571	
such	0.870	5.098892234947722	12.233	33.772	
over	0.868	5.073734263040252	13.503	44.998	
here	0.863	4.990078038684392	12.688	39.963	
business	0.866	4.799075452958123	13.105	39.525	
day	0.871	4.982894222615129	12.726	37.734	
me	0.867	4.8224502840284575	12.253	39.687	
S	0.869	5.009903349411689	12.130	37.955	
going	0.868	5.12664522457931	12.823	34.181	
just	0.868	5.0771639224836385	12.943	39.522	
have	0.868	5.119666873196424	12.429	39.482	
good	0.868	4.983679265592058	12.561	38.578	
help	0.866	4.965456831758305	13.544	45.989	
still	0.868	5.042637494357966	13.459	38.576	
market	0.865	4.945056097891372	13.201	38.662	
end	0.867	4.999007029452566	13.036	39.332	
