ORIGINAL	0.786	5.143224304457412	6.076	14.604	
The	0.785	5.10123550015063	6.972	28.577	
the	0.785	5.090042445954396	6.799	23.322	
many	0.786	4.92814701002715	6.650	20.088	
was	0.788	5.040378601151826	7.043	23.849	
S	0.786	5.014253306276921	7.678	28.540	
next	0.790	5.038158719155337	6.463	19.351	
The	0.772	5.094112544365705	5.766	18.157	
including	0.789	4.997317954781283	6.240	20.500	
that	0.792	5.084361465137703	7.007	22.400	
were	0.793	5.088395118526823	8.167	28.896	
last	0.788	5.063058799607839	6.482	17.714	
L	0.784	4.964540569248707	5.699	14.093	
very	0.787	5.081824794248423	6.861	16.784	
It	0.790	5.00693355740889	5.901	14.686	
under	0.790	4.969409778084554	6.239	15.411	
would	0.786	5.093452615357341	7.227	18.764	
This	0.792	5.0883816840689695	6.291	18.362	
S	0.790	5.010186494982485	6.056	16.218	
p	0.786	4.944676786521231	7.278	25.351	
other	0.786	5.064875557389058	7.847	31.462	
P	0.785	4.9416979047614085	6.372	24.535	
In	0.783	5.109677511948002	6.117	17.243	
with	0.784	5.087821390893724	6.522	19.026	
being	0.782	5.113119496239556	7.409	21.437	
think	0.793	4.987304653546807	6.636	19.323	
so	0.793	5.105788275482882	6.988	20.087	
these	0.788	4.985069940347627	7.449	20.365	
this	0.787	5.075567998610006	6.111	14.211	
at	0.789	5.091833678209726	6.327	18.410	
are	0.788	5.098520811361513	6.697	17.919	
than	0.787	5.0849131873702405	6.630	23.996	
during	0.786	5.061922641800416	7.539	20.512	
after	0.789	5.077548021255338	5.957	15.704	
team	0.790	4.957123687196412	7.420	21.823	
did	0.797	5.0759890616779595	6.704	17.654	
if	0.791	5.066222822535579	6.426	16.248	
such	0.788	5.107472196990895	6.966	21.402	
first	0.785	4.958686832717514	6.854	21.452	
one	0.787	5.007850290277568	7.170	24.914	
may	0.788	4.986630672953312	7.253	25.025	
by	0.783	5.067700021143811	6.927	24.324	
is	0.786	5.071882449218738	6.315	17.440	
I	0.788	4.945667695924523	7.507	28.979	
I	0.788	4.972084615525318	5.314	12.864	
before	0.784	4.96254757070019	6.554	21.771	
me	0.791	4.827609057530924	6.750	26.458	
which	0.785	5.0641272090410405	7.402	26.676	
they	0.788	5.025046550425379	6.682	18.693	
per	0.788	5.049030768292984	7.135	20.811	
We	0.791	5.071677786643516	6.450	16.063	
home	0.787	4.927174645037345	7.445	25.028	
had	0.790	5.1088985268125695	6.714	19.564	
against	0.786	5.089061912796307	6.851	17.069	
or	0.790	5.085384675221451	6.440	21.467	
